0	1	0
10	1	-1
20	1	-1.89906280480301
31.5	1	-0.70737673178326
43.5	1	0.364023891470558
55.5	1	1.32728034088083
66.5	1	2.19330838603221
78	1	1.97192198934407
90	1	1.77288171459241
100.5	1	1.59393200690542
112	1	1.43304498079367
122	1	1.28839743984123
132	1	1.15835021596467
142	1	1.04142959410937
154	1	1.93631061188483
165	1	1.740864849691
176	1	1.56514683454616
187	1	1.40716530299562
197	1	2.26512998413272
208	1	1.03649411677775
219.5	1	-0.0681266922079781
230	1	-1.06125017497846
240	1	-0.954130558913814
251.5	1	-0.857823296445315
263	1	-0.771237018927487
273.5	1	-0.693390517404857
285	1	-0.623401623401819
297	1	-0.560477212054388
309	1	-0.503904214297789
321	1	-1.45304153625863
331	1	-2.30637559908395
343	1	-2.07357651504164
355	1	-1.86427551758698
365	1	-2.67610077576733
376.5	1	-3.40598266939688
387	1	-3.0621923318584
397.5	1	-2.75310322672687
408.5	1	-1.47521270893327
419.5	1	-2.32630887577459
430	1	-3.09149778269204
440.5	1	-1.77945066754938
451	1	-0.599837908175532
462	1	-0.539291952151463
473.5	1	-0.484857335108984
485	1	-1.4359171956324
495	1	-0.29097974137013
505.5	1	-1.26160906241708
516.5	1	-2.1342657822216
528.5	1	-1.91883898035923
539.5	1	-1.72515675564712
